,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
512,Maruti,Alto,800 LXI,2017,"17,371 kms",Petrol,First Owner,delhi,2.65 Lakh*
513,Toyota,Fortuner,2016-2021 2.8 2WD AT BSIV,2017,"50,000 kms",Diesel,First Owner,delhi,25.5 Lakh*
514,Mahindra,XUV500,W6 2WD,2015,"60,000 kms",Diesel,Second Owner,delhi,8.25 Lakh*
515,BMW,X6,xDrive30d,2010,"1,50,000 kms",Diesel,First Owner,delhi,16 Lakh*
516,Skoda,Rapid,1.5 TDI Active,2015,"40,000 kms",Diesel,Second Owner,delhi,3.6 Lakh*
517,Ford,Figo,Diesel ZXI,2012,"78,000 kms",Diesel,First Owner,delhi,1.65 Lakh*
518,Audi,A4,2.0 TDI 177 Bhp Premium Plus,2013,"70,000 kms",Diesel,First Owner,delhi,17.5 Lakh*
519,Maruti,Alto,K10 LXI CNG Optional,2017,"39,700 kms",CNG,First Owner,delhi,3.45 Lakh*
520,Mercedes-Benz,A,Class A180 CDI,2013,"76,000 kms",Diesel,First Owner,delhi,10.31 Lakh*
521,Honda,Civic,1.8 V AT,2006,"1,17,000 kms",Petrol,Third Owner,delhi,1.3 Lakh*
522,Honda,Jazz,S,2010,"53,000 kms",Petrol,First Owner,delhi,2.7 Lakh*
523,Maruti,Vitara,Brezza ZDi,2017,"52,000 kms",Diesel,First Owner,delhi,7.75 Lakh*
524,Maruti,Ciaz,Alpha,2019,"34,000 kms",Petrol,First Owner,delhi,9.25 Lakh*
525,Maruti,Baleno,Sigma,2016,"58,000 kms",Petrol,Second Owner,delhi,4.65 Lakh*
526,Toyota,Yaris,VX CVT,2019,"40,000 kms",Petrol,First Owner,delhi,11 Lakh*
527,Kia,Seltos,HTX G,2020,"8,000 kms",Petrol,First Owner,delhi,13.75 Lakh*
